,,,,,DESCRIÇÃO DA SQUAD POR PRODUTO,,
TOTAL GRUPO,Preço M H/H,Custo M H/H,QTDE,ÁREA,CARGO,SQUAD,
"R$ 35,569.89",R$ 211.73,R$ 132.33,1,PROG. WEB,ENGENHEIRO PL WEB,BACKOFFICE ,
"R$ 35,569.89",R$ 211.73,R$ 132.33,1,PROG. WEB,ENGENHEIRO PL WEB,BACKOFFICE ,
"R$ 37,969.89",R$ 226.01,R$ 141.26,1,PROG. WEB,ENGENHEIRO SR WEB,BACKOFFICE ,
"R$ 22,369.89",R$ 133.15,R$ 83.22,1,PRDUTO/NEGÓCIO,ANALISTA REQ PL,BACKOFFICE ,
"R$ 28,369.89",R$ 168.87,R$ 105.54,1,QUALIDADE,ANALISTA QA SR,BACKOFFICE ,
"R$ 6,492.47",R$ 154.58,R$ 96.61,0.25,INFRAESTRUTURA,ANALISTA DEVOPS SR,BACKOFFICE ,
"R$ 224,041.69",,,7.25,,TOTAIS,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
